단어
좋아
행복해
짱이야
괜찮아
굿
유쾌해
만족해
사랑해
평화로워
신나
즐거워
뿌듯해
산뜻해
설레
차분해
고요해
상쾌해
짜릿해
편해
통쾌해
재밌어
흐뭇해
활기차
슬퍼
우울해
비참해
울적해
침울해
쓸쓸해
외로워
서운해
울적해
암담해
불안해
걱정
근심
무서워
찝찝해
눈물
섭섭해
속상해
후회
괴로워
민망해
쪽팔려
화나
짜증나
빡쳐
스트레스
별로
분해
울화
극혐
초조해
불안해
긴장
불쾌해
성나
부끄러워
흥분
역겨워
후회
괴로워
분노
최악
민망해
쪽팔려
좆같애
엿같애
힘들어
지쳤어
피곤해
허전해
허탈해
멍해
무기력해
걱정
근심
불안해
무서워
지겨워
졸려
지루해
무력해
불편해
찝찝해
후회
혼란
안타까워
괴로워
막막
따분해
