화남
화나
짜증나
빡쳐
스트레스
별로
분해
울화
극혐
초조해
불안해
긴장
불쾌해
성나
부끄러워
흥분
역겨워
후회
괴로워
분노
최악
민망해
쪽팔려
좆같애
엿같애
