지침
힘들어
지쳤어
피곤해
허전해
허탈해
멍해
무기력해
걱정
근심
불안해
무서워
지겨워
졸려
지루해
무력해
불편해
찝찝해
후회
혼란
안타까워
괴로워
막막
따분해
