슬픔
슬퍼
우울해
비참해
울적해
침울해
쓸쓸해
외로워
서운해
울적해
암담해
불안해
걱정
근심
무서워
찝찝해
눈물
섭섭해
속상해
후회
괴로워
민망해
쪽팔려
